"tip_mov","data","n_nota","cod_prod","produto","qtde","valor","total"
"S","2006-12-11 00:00:00","          ","03290","SANDALIAS E CHINELOS - RENATA ","1","26.00","26.00"
"S","2006-12-11 00:00:00","          ","03141","SANDALIA - PICCADILLY         ","1","27.00","27.00"
"S","2006-12-11 00:00:00","          ","03187","BOTINAS - KANERON             ","1","62.00","62.00"
"S","2006-12-11 00:00:00","          ","03298","MEIAS - KLIN                  ","1","4.00","4.00"
"S","2006-12-11 00:00:00","          ","03299","SANDALIA - VIA MARTE          ","1","46.00","46.00"
"S","2006-12-12 00:00:00","          ","02805","SAPATO - PICCADILLY           ","1","43.00","43.00"
"S","2006-12-12 00:00:00","          ","03189","SANDALIA - DAKOTINHA          ","1","32.00","32.00"
"S","2006-12-12 00:00:00","          ","03301","SANDALIAS - KLIN              ","1","32.00","32.00"
"S","2006-12-12 00:00:00","          ","03263","SANDALIAS - DAKOTINHA         ","1","32.00","32.00"
"S","2006-12-12 00:00:00","          ","03181","SANDALIA - OPANKA             ","2","16.00","32.00"
"S","2006-12-12 00:00:00","          ","02862","SANDALIA - DAKOTINHA          ","1","35.00","35.00"
"S","2006-12-12 00:00:00","          ","03296","SANDALIA - KLIN               ","1","38.00","38.00"
"S","2006-12-13 00:00:00","          ","03274","SANDALIA - BEBECE             ","1","51.00","51.00"
"S","2006-12-13 00:00:00","          ","03226","SANDALIAS  X  TAMANCOS RAMARIM","1","38.00","38.00"
"S","2006-12-13 00:00:00","          ","03073","SANDALIA - VIA ROMA           ","1","32.00","32.00"
"S","2006-12-13 00:00:00","          ","03276","TAMANCO - BEBECE              ","1","43.00","43.00"
"S","2006-12-13 00:00:00","          ","02616","CHINELO - PICCADILLY          ","1","24.00","24.00"
"S","2006-12-13 00:00:00","          ","03179","TAMANCO - AZALEIA CUPIDO      ","1","29.00","29.00"
"S","2006-12-13 00:00:00","          ","03198","TENES - KIDY K2               ","1","48.00","48.00"
"S","2006-12-13 00:00:00","          ","03084","SANDALIA - VIA ROMA           ","1","32.00","32.00"
"S","2006-12-13 00:00:00","          ","02686","SANDALIA - OLYMPIKUS          ","1","23.00","23.00"
"S","2006-12-13 00:00:00","          ","03348","SANDALIA - KIDY               ","1","24.00","24.00"
"S","2006-12-13 00:00:00","          ","03152","SANDALIA - GUGA KUERTEN INF.  ","1","23.00","23.00"
"S","2006-12-14 00:00:00","          ","03140","TAMANCO - PICCADILLY          ","1","24.00","24.00"
"S","2006-12-14 00:00:00","          ","03306","SANDALIA - KLIN               ","1","46.00","46.00"
"S","2006-12-14 00:00:00","          ","03224","SANDALIAS X TAMANCOS VIA MARTE","1","40.00","40.00"
"S","2006-12-14 00:00:00","          ","03353","SANDALIAS FLOWER - KLIN       ","1","32.00","32.00"
"S","2006-12-14 00:00:00","          ","02754","TENES - KIDY                  ","1","35.00","35.00"
"S","2006-12-14 00:00:00","          ","02932","SANDALIA - KLIN LOVE          ","1","35.00","35.00"
"S","2006-12-14 00:00:00","          ","03073","SANDALIA - VIA ROMA           ","1","32.00","32.00"
"S","2006-12-15 00:00:00","          ","03253","SAPATO - RAFARILLO            ","1","67.00","67.00"
"S","2006-12-15 00:00:00","          ","03050","SANDALIA - RAMARIM            ","1","35.00","35.00"
"S","2006-12-15 00:00:00","          ","03215","SANDALIAS X TAMANCOS - DAKOTIN","1","35.00","35.00"
"S","2006-12-15 00:00:00","          ","03264","TAMANCOS - DAKOTINHA          ","1","38.00","38.00"
"S","2006-12-15 00:00:00","          ","03181","SANDALIA - OPANKA             ","1","16.00","16.00"
"S","2006-12-15 00:00:00","          ","03301","SANDALIAS - KLIN              ","1","32.00","32.00"
"S","2006-12-15 00:00:00","          ","03360","SANDALIAS - FERNANDA GUIRADO  ","1","48.00","48.00"
"S","2006-12-15 00:00:00","          ","03181","SANDALIA - OPANKA             ","1","16.00","16.00"
"S","2006-12-16 00:00:00","          ","03115","BOTA - DAKOTA                 ","1","105.00","105.00"
"S","2006-12-16 00:00:00","          ","03198","TENES - KIDY K2               ","1","48.00","48.00"
"S","2006-12-16 00:00:00","          ","03208","SANDALIA - GISELE BUNDCHEN    ","1","22.00","22.00"
"S","2006-12-16 00:00:00","          ","03352","TENIS CASUAL - KLIN           ","1","38.00","38.00"
"S","2006-12-16 00:00:00","          ","03278","SAPATO - CALVEST              ","1","89.00","89.00"
"S","2006-12-16 00:00:00","          ","03283","TENES - KLIN FUTSAL           ","1","48.00","48.00"
"S","2006-12-16 00:00:00","          ","03233","SANDALIAS  X  TAMANCOS LETICIA","1","40.00","40.00"
"S","2006-12-16 00:00:00","          ","03249","TAMANCO - MIUCHA              ","1","38.00","38.00"
"S","2006-12-16 00:00:00","          ","03329","SANDALIAS - MORGANA MARCHI    ","2","38.00","76.00"
"S","2006-12-16 00:00:00","          ","03311","SANDALIAS - COR DA FLOR       ","1","32.00","32.00"
"S","2006-12-16 00:00:00","          ","03329","SANDALIAS - MORGANA MARCHI    ","1","38.00","38.00"
"S","2006-12-16 00:00:00","          ","03340","SANDALIA - CRYSALIS           ","1","67.00","67.00"
"S","2006-12-16 00:00:00","          ","02815","TAMANCO - VIA MARTE           ","1","32.00","32.00"
"S","2006-12-16 00:00:00","          ","02614","SANDALIA - PICCADILLY         ","1","32.00","32.00"
"S","2006-12-16 00:00:00","          ","03181","SANDALIA - OPANKA             ","1","16.00","16.00"
"S","2006-12-16 00:00:00","          ","03085","TAMANCO - VIA ROMA            ","1","29.00","29.00"
"S","2006-12-16 00:00:00","          ","03038","TENES - KLIN OUTDOR           ","1","29.00","29.00"
"S","2006-12-16 00:00:00","          ","03181","SANDALIA - OPANKA             ","1","16.00","16.00"
"S","2006-12-16 00:00:00","          ","03153","SANDALIA - GUGA KUERTEN ADUL. ","1","27.00","27.00"
"S","2006-12-16 00:00:00","          ","03244","TENES - KIDY PLAY             ","1","35.00","35.00"
"S","2006-12-16 00:00:00","          ","03211","TENES - KLIN                  ","1","43.00","43.00"
"S","2006-12-16 00:00:00","          ","03308","TENES - PE COM PE             ","1","35.00","35.00"
"S","2006-12-16 00:00:00","          ","03298","MEIAS - KLIN                  ","1","4.00","4.00"
"S","2006-12-18 00:00:00","          ","03318","TAMANCOS - VIA MARTE          ","1","43.00","43.00"
"S","2006-12-18 00:00:00","          ","03324","SANDALIA - IVETE SANGALO      ","1","29.00","29.00"
"S","2006-12-18 00:00:00","          ","03178","SANDALIA - AZALEIA CUPIDO     ","1","33.00","33.00"
"S","2006-12-18 00:00:00","          ","03178","SANDALIA - AZALEIA CUPIDO     ","1","33.00","33.00"
"S","2006-12-18 00:00:00","          ","03348","SANDALIA - KIDY               ","1","24.00","24.00"
"S","2006-12-18 00:00:00","          ","03343","SANDALIAS - CRYSALIS          ","1","48.00","48.00"
"S","2006-12-18 00:00:00","          ","03140","TAMANCO - PICCADILLY          ","1","24.00","24.00"
"S","2006-12-18 00:00:00","          ","03253","SAPATO - RAFARILLO            ","1","67.00","67.00"
"S","2006-12-18 00:00:00","          ","03018","SAPATO - MARINER              ","1","62.00","62.00"
"S","2006-12-18 00:00:00","          ","03298","MEIAS - KLIN                  ","1","4.00","4.00"
"S","2006-12-18 00:00:00","          ","03122","SAPATILHA - QEA               ","1","43.00","43.00"
"S","2006-12-18 00:00:00","          ","03249","TAMANCO - MIUCHA              ","1","38.00","38.00"
"S","2006-12-18 00:00:00","          ","03225","SANDALIAS  X  TAMANCOS RAMARIM","1","32.00","32.00"
"S","2006-12-18 00:00:00","          ","02980","CHINELO - GRENDHA             ","1","20.00","20.00"
"S","2006-12-19 00:00:00","          ","02980","CHINELO - GRENDHA             ","1","20.00","20.00"
"S","2006-12-19 00:00:00","          ","03179","TAMANCO - AZALEIA CUPIDO      ","1","29.00","29.00"
"S","2006-12-19 00:00:00","          ","03318","TAMANCOS - VIA MARTE          ","1","43.00","43.00"
"S","2006-12-19 00:00:00","          ","03323","SAPATO - PICCADILLY SCARPAM   ","1","62.00","62.00"
"S","2006-12-19 00:00:00","          ","03338","SAPATO - CALVET               ","1","51.00","51.00"
"S","2006-12-19 00:00:00","          ","03085","TAMANCO - VIA ROMA            ","1","29.00","29.00"
"S","2006-12-19 00:00:00","          ","03336","SANDALIAS - VIA MARTE         ","1","48.00","48.00"
"S","2006-12-19 00:00:00","          ","03332","TAMANCOS - MORGANA MARCHI     ","1","24.00","24.00"
"S","2006-12-19 00:00:00","          ","03301","SANDALIAS - KLIN              ","1","32.00","32.00"
"S","2006-12-19 00:00:00","          ","03354","SANDALIAS - BIA               ","1","43.00","43.00"
"S","2006-12-19 00:00:00","          ","03272","SANDALIA - MISSISSIPI         ","1","35.00","35.00"
"S","2006-12-20 00:00:00","          ","03338","SAPATO - CALVET               ","1","51.00","51.00"
"S","2006-12-20 00:00:00","          ","00649","BONE - OLYMPIKUS              ","1","14.00","14.00"
"S","2006-12-20 00:00:00","          ","03224","SANDALIAS X TAMANCOS VIA MARTE","1","40.00","40.00"
"S","2006-12-20 00:00:00","          ","02421","SAPATOS - PE DE FERRO         ","1","73.00","73.00"
"S","2006-12-20 00:00:00","          ","03265","SANDALIAS - DAKOTINHA         ","1","40.00","40.00"
"S","2006-12-20 00:00:00","          ","03181","SANDALIA - OPANKA             ","1","16.00","16.00"
"S","2006-12-20 00:00:00","          ","03244","TENES - KIDY PLAY             ","1","35.00","35.00"
