"cod_prod","nome_prod","referencia","cod_barra","cod_grup","nome_grup","avista","vlr_un_pro","esto_prod","est_minimo"
"     ","                                        ","                    ","               ","   ","                    ","0.00","0.00","-16","0"
"00001","REGATA MASC.                            ","                    ","               ","003","DIVERSOS            ","22.00","24.00","-1","0"
"00002","CASACO INF.                             ","                    ","               ","007","INFANTIL FEM.       ","80.00","88.00","11","0"
"00003","CAL€A INF.FEM.                          ","421                 ","               ","007","INFANTIL FEM.       ","54.00","59.00","2","0"
"00004","CAL€A INF.FEM.                          ","310                 ","               ","007","INFANTIL FEM.       ","50.00","55.00","1","0"
"00005","CUECA INF.                              ","                    ","               ","006","INFANTIL MASC.      ","12.00","13.50","39","0"
"00006","CAL€A INF. .                            ","301                 ","               ","003","DIVERSOS            ","50.00","55.00","2","0"
"00007","CAL€A INF. FEM.                         ","                    ","               ","007","INFANTIL FEM.       ","54.00","59.00","9","0"
"00008","DECORA€AO VIDRO                         ","                    ","               ","003","DIVERSOS            ","22.00","24.00","1","0"
"00009","MAQUIAGEM                               ","                    ","               ","003","DIVERSOS            ","42.00","46.00","0","0"
"00010","CAL€A INF. FEM.                         ","400                 ","               ","007","INFANTIL FEM.       ","45.00","49.00","1","0"
"00011","CAMISA INF.                             ","                    ","               ","005","MODA FEM.           ","24.00","26.00","1","0"
"00012","CAL€A INF. FEM.                         ","435                 ","               ","007","INFANTIL FEM.       ","45.00","49.00","1","0"
"00013","MARINEX C/ TAMPA                        ","                    ","               ","003","DIVERSOS            ","30.00","33.00","2","0"
"00014","VESTIDO                                 ","                    ","               ","005","MODA FEM.           ","130.00","145.00","4","0"
"00015","CONJ. INF. MASC.                        ","                    ","               ","006","INFANTIL MASC.      ","112.00","124.00","0","0"
"00016","GARRAFA VIDRO                           ","                    ","               ","002","CAMA MESA E BANHO   ","13.00","14.50","10","0"
"00017","FORMA PUDIM                             ","                    ","               ","003","DIVERSOS            ","20.00","22.00","0","0"
"00018","KIT CUECA                               ","                    ","               ","004","MODA MASC.          ","14.00","15.50","1","0"
"00019","BOLSA                                   ","                    ","               ","003","DIVERSOS            ","80.00","88.00","1","0"
"00020","SAIA                                    ","                    ","               ","003","DIVERSOS            ","126.00","140.00","2","0"
"00021","BOLSA ENFIM                             ","                    ","               ","003","DIVERSOS            ","89.00","89.00","1","0"
"00022","CAL€A ADUL. FEM.                        ","                    ","               ","005","MODA FEM.           ","87.00","96.00","5","0"
"00023","CAL€A ADUL. FEM.                        ","                    ","               ","007","INFANTIL FEM.       ","123.00","136.00","18","0"
"00024","CAL€A ADUL. FEM.                        ","                    ","               ","005","MODA FEM.           ","117.00","130.00","9","0"
"00025","CAL€A ADUL. FEM.                        ","                    ","               ","005","MODA FEM.           ","199.00","199.00","3","0"
"00026","CAL€A ADUL. FEM.                        ","                    ","               ","005","MODA FEM.           ","180.00","199.00","5","0"
"00027","BONECA                                  ","                    ","               ","001","BRINQUEDOS          ","14.00","15.50","13","0"
"00028","CAL€A ADUL. FEM.                        ","                    ","               ","005","MODA FEM.           ","76.00","84.00","11","0"
"00029","JAQUETA INF.                            ","                    ","               ","005","MODA FEM.           ","140.00","155.00","3","0"
"00030","CAL€A INF. FEM.                         ","190                 ","               ","007","INFANTIL FEM.       ","67.00","74.00","2","0"
"00031","JARRA                                   ","                    ","               ","002","CAMA MESA E BANHO   ","67.00","74.00","4","0"
"00032","CAL‡A FEM.OPEN SHOCK                    ","                    ","               ","005","MODA FEM.           ","99.00","110.00","0","0"
"00033","CAL‡A MASC.MALWEE                       ","262                 ","               ","004","MODA MASC.          ","117.00","130.00","7","0"
"00034","BIQUINE ADUL.                           ","                    ","               ","005","MODA FEM.           ","39.00","43.00","2","0"
"00035","CAL€A INF. FEM.                         ","151                 ","               ","007","INFANTIL FEM.       ","90.00","99.00","17","0"
"00036","PANELA PRESSAO 3.LTS                    ","                    ","               ","003","DIVERSOS            ","36.00","39.00","1","0"
"00037","CAL€A INF. FEM.                         ","220                 ","               ","007","INFANTIL FEM.       ","99.00","110.00","5","0"
"00038","CAL€A INF. FEM.                         ","153                 ","               ","007","INFANTIL FEM.       ","44.00","48.00","1","0"
"00039","COPO                                    ","                    ","               ","003","DIVERSOS            ","5.50","5.50","24","0"
"00040","CORTADOR DE UNHAS                       ","                    ","               ","003","DIVERSOS            ","1.50","1.50","3","0"
"00041","CINTO ADUL. FEM.                        ","                    ","               ","003","DIVERSOS            ","18.00","20.00","6","0"
"00042","DECORACAO DE VIDRO                      ","                    ","               ","003","DIVERSOS            ","25.00","25.00","-1","0"
"00043","SAIA                                    ","                    ","               ","009","ARTIGOS PARA BEBE   ","162.00","179.00","1","0"
"00044","GARRAFA CAFE                            ","                    ","               ","002","CAMA MESA E BANHO   ","14.00","15.50","2","0"
"00045","CAL€A INF. FEM.                         ","                    ","               ","007","INFANTIL FEM.       ","45.00","49.00","1","0"
"00046","KIT CUECA INF.                          ","                    ","               ","006","INFANTIL MASC.      ","11.00","12.50","2","0"
"00047","KIT CUECA                               ","                    ","               ","004","MODA MASC.          ","24.00","26.00","32","0"
"00048","KIT CUECA BOX.                          ","                    ","               ","006","INFANTIL MASC.      ","30.00","33.00","0","0"
"00049","CAL€A INF. FEM.                         ","2300                ","               ","007","INFANTIL FEM.       ","78.00","86.00","4","0"
"00050","KIT CUECA                               ","                    ","               ","004","MODA MASC.          ","15.50","17.00","5","0"
"00051","KIT CUECA                               ","                    ","               ","004","MODA MASC.          ","16.00","17.50","34","0"
"00052","CUECA BOX                               ","                    ","               ","006","INFANTIL MASC.      ","20.00","22.00","13","0"
"00053","MACACAO INF. FEM.                       ","302                 ","               ","007","INFANTIL FEM.       ","75.00","75.00","1","0"
"00054","MACACAO INF. FEM.                       ","                    ","               ","007","INFANTIL FEM.       ","40.00","44.00","1","0"
"00055","MACACAO INF. FEM.                       ","40002               ","               ","007","INFANTIL FEM.       ","65.00","68.00","0","0"
"00056","MACACAO INF.                            ","32051               ","               ","007","INFANTIL FEM.       ","36.00","39.00","0","0"
"00057","CUECA BOX                               ","                    ","               ","004","MODA MASC.          ","15.00","16.50","4","0"
"00058","CUECA BOX.                              ","                    ","               ","004","MODA MASC.          ","13.00","14.50","12","0"
"00059","CUECA BOX INF.                          ","                    ","               ","006","INFANTIL MASC.      ","11.00","12.50","4","0"
"00060","CUECA ADUL.                             ","                    ","               ","004","MODA MASC.          ","12.00","13.50","2","0"
"00061","KIT CUECA                               ","                    ","               ","006","INFANTIL MASC.      ","10.00","11.00","2","0"
"00062","KIT CUECA ALGODAO                       ","                    ","               ","004","MODA MASC.          ","22.00","24.00","23","0"
"00063","SHORT TACTEL                            ","                    ","               ","003","DIVERSOS            ","40.00","44.00","37","0"
"00064","VESTIDO ADUL.                           ","                    ","               ","005","MODA FEM.           ","72.00","79.00","5","0"
"00065","KIT FEMINY BLOSSON                      ","                    ","               ","008","COSMETICOS          ","44.90","44.90","0","0"
"00066","CANECA                                  ","                    ","               ","003","DIVERSOS            ","7.50","7.50","3","0"
"00067","SALOPETE INF.                           ","                    ","               ","007","INFANTIL FEM.       ","72.00","79.00","2","0"
"00068","CAPA COLCHAO SOL.SEM ELASTICO           ","                    ","               ","002","CAMA MESA E BANHO   ","12.00","13.50","1","0"
"00069","KIT ORANGE BLOSSON                      ","                    ","               ","008","COSMETICOS          ","39.90","39.90","-1","0"
"00070","SHORT INF. FEM.                         ","                    ","               ","007","INFANTIL FEM.       ","70.00","77.00","16","0"
"00071","SHORT INF.                              ","                    ","               ","007","INFANTIL FEM.       ","72.00","79.00","10","0"
"00072","CAL€A INF. FEM.                         ","                    ","               ","007","INFANTIL FEM.       ","81.00","89.00","2","0"
"00073","CAL€A INF. FEM.                         ","764                 ","               ","007","INFANTIL FEM.       ","72.00","79.00","1","0"
"00074","PANELA PRESSAO 4,5                      ","                    ","               ","002","CAMA MESA E BANHO   ","45.00","49.00","0","0"
"00075","CAL€A INF. FEM.                         ","                    ","               ","007","INFANTIL FEM.       ","90.00","99.00","3","0"
"00076","SHORT INF. FEM.                         ","014                 ","               ","007","INFANTIL FEM.       ","53.00","58.00","4","0"
"00077","CASACO ADUL. FEM.                       ","                    ","               ","005","MODA FEM.           ","59.00","65.00","3","0"
"00078","CAMISA INF.                             ","                    ","               ","006","INFANTIL MASC.      ","36.00","39.00","29","0"
"00079","CAMISA INF.                             ","                    ","               ","006","INFANTIL MASC.      ","24.00","26.00","2","0"
"00080","KIT CUECA MICROFIBRA                    ","                    ","               ","004","MODA MASC.          ","24.00","26.00","3","0"
"00081","CAMISA INF.                             ","                    ","               ","006","INFANTIL MASC.      ","20.00","22.00","5","0"
"00082","MOLETON BEBE UNISEEX                    ","                    ","               ","006","INFANTIL MASC.      ","38.00","42.00","1","0"
"00083","CASACO ADUL.                            ","                    ","               ","005","MODA FEM.           ","79.00","79.00","14","0"
"00084","KIT CUECA ALGODAO                       ","                    ","               ","004","MODA MASC.          ","24.00","26.00","20","0"
"00085","CAMISA INF.                             ","                    ","               ","006","INFANTIL MASC.      ","22.00","24.00","24","0"
"00086","CAMISA MC SLIM GEAN FERNAN              ","361                 ","               ","006","INFANTIL MASC.      ","90.00","99.00","30","0"
"00087","CASACO ADUL. FEM.                       ","                    ","               ","005","MODA FEM.           ","63.00","69.00","3","0"
"00088","CASACO ADUL. MASC.                      ","                    ","               ","004","MODA MASC.          ","60.00","66.00","2","0"
"00089","CAMISA                                  ","                    ","               ","006","INFANTIL MASC.      ","126.00","140.00","0","0"
"00090","CAMISA INF.                             ","                    ","               ","006","INFANTIL MASC.      ","18.00","20.00","7","0"
"00091","REGATA INF.                             ","                    ","               ","006","INFANTIL MASC.      ","15.00","16.50","2","0"
"00092","CONJ. INF. MASC.                        ","                    ","               ","006","INFANTIL MASC.      ","106.00","117.00","0","0"
"00093","CAL€A PROM.                             ","                    ","               ","005","MODA FEM.           ","69.00","69.00","-10","0"
"00094","CASACO ADUL.                            ","                    ","               ","005","MODA FEM.           ","99.00","99.00","5","0"
"00095","MEIAS FEM.                              ","                    ","               ","005","MODA FEM.           ","13.00","13.00","1","0"
"00096","CAMISA INF.                             ","                    ","               ","006","INFANTIL MASC.      ","17.50","19.00","4","0"
"00097","CAMISA INF.                             ","066                 ","               ","006","INFANTIL MASC.      ","65.00","72.00","3","0"
"00098","CASACO ADUL. MASC.                      ","                    ","               ","004","MODA MASC.          ","162.00","180.00","1","0"
"00099","CAMISA INF.                             ","256                 ","               ","006","INFANTIL MASC.      ","47.00","52.00","17","0"
